CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Number of items bought ,Invoice ID,Branch,City,Customer type,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
1,Male,19,15,39,15,750-67-8428,A,Yangon,Member,Health and beauty,74.69,7,26.1415,548.9715,1/5/2019,13:08,Ewallet,522.83,4.761904762,26.1415,9.1
2,Male,21,15,81,15,226-31-3081,C,Naypyitaw,Normal,Electronic accessories,15.28,5,3.82,80.22,3/8/2019,10:29,Cash,76.4,4.761904762,3.82,9.6
3,Female,20,16,6,16,631-41-3108,A,Yangon,Normal,Home and lifestyle,46.33,7,16.2155,340.5255,3/3/2019,13:23,Credit card,324.31,4.761904762,16.2155,7.4
4,Female,23,16,77,16,123-19-1176,A,Yangon,Member,Health and beauty,58.22,8,23.288,489.048,1/27/2019,20:33,Ewallet,465.76,4.761904762,23.288,8.4
5,Female,31,17,40,17,373-73-7910,A,Yangon,Normal,Sports and travel,86.31,7,30.2085,634.3785,2/8/2019,10:37,Ewallet,604.17,4.761904762,30.2085,5.3
6,Female,22,17,76,17,699-14-3026,C,Naypyitaw,Normal,Electronic accessories,85.39,7,29.8865,627.6165,3/25/2019,18:30,Ewallet,597.73,4.761904762,29.8865,4.1
7,Female,35,18,6,18,355-53-5943,A,Yangon,Member,Electronic accessories,68.84,6,20.652,433.692,2/25/2019,14:36,Ewallet,413.04,4.761904762,20.652,5.8
8,Female,23,18,94,18,315-22-5665,C,Naypyitaw,Normal,Home and lifestyle,73.56,10,36.78,772.38,2/24/2019,11:38,Ewallet,735.6,4.761904762,36.78,8
9,Male,64,19,3,19,665-32-9167,A,Yangon,Member,Health and beauty,36.26,2,3.626,76.146,1/10/2019,17:15,Credit card,72.52,4.761904762,3.626,7.2
10,Female,30,19,72,19,692-92-5582,B,Mandalay,Member,Food and beverages,54.84,3,8.226,172.746,2/20/2019,13:27,Credit card,164.52,4.761904762,8.226,5.9
11,Male,67,19,14,19,351-62-0822,B,Mandalay,Member,Fashion accessories,14.48,4,2.896,60.816,2/6/2019,18:07,Ewallet,57.92,4.761904762,2.896,4.5
12,Female,35,19,99,19,529-56-3974,B,Mandalay,Member,Electronic accessories,25.51,4,5.102,107.142,3/9/2019,17:03,Cash,102.04,4.761904762,5.102,6.8
13,Female,58,20,15,20,365-64-0515,A,Yangon,Normal,Electronic accessories,46.95,5,11.7375,246.4875,2/12/2019,10:25,Ewallet,234.75,4.761904762,11.7375,7.1
14,Female,24,20,77,20,252-56-2699,A,Yangon,Normal,Food and beverages,43.19,10,21.595,453.495,2/7/2019,16:48,Ewallet,431.9,4.761904762,21.595,8.2
15,Male,37,20,13,20,829-34-3910,A,Yangon,Normal,Health and beauty,71.38,10,35.69,749.49,3/29/2019,19:21,Cash,713.8,4.761904762,35.69,5.7
16,Male,22,20,79,20,299-46-1805,B,Mandalay,Member,Sports and travel,93.72,6,28.116,590.436,1/15/2019,16:19,Cash,562.32,4.761904762,28.116,4.5
17,Female,35,21,35,21,656-95-9349,A,Yangon,Member,Health and beauty,68.93,7,24.1255,506.6355,3/11/2019,11:03,Credit card,482.51,4.761904762,24.1255,4.6
18,Male,20,21,66,21,765-26-6951,A,Yangon,Normal,Sports and travel,72.61,6,21.783,457.443,1/1/2019,10:39,Credit card,435.66,4.761904762,21.783,6.9
19,Male,52,23,29,23,329-62-1586,A,Yangon,Normal,Food and beverages,54.67,3,8.2005,172.2105,1/21/2019,18:00,Credit card,164.01,4.761904762,8.2005,8.6
20,Female,35,23,98,23,319-50-3348,B,Mandalay,Normal,Home and lifestyle,40.3,2,4.03,84.63,3/11/2019,15:30,Ewallet,80.6,4.761904762,4.03,4.4
21,Male,35,24,35,24,300-71-4605,C,Naypyitaw,Member,Electronic accessories,86.04,5,21.51,451.71,2/25/2019,11:24,Ewallet,430.2,4.761904762,21.51,4.8
22,Male,25,24,73,24,371-85-5789,B,Mandalay,Normal,Health and beauty,87.98,3,13.197,277.137,3/5/2019,10:40,Ewallet,263.94,4.761904762,13.197,5.1
23,Female,46,25,5,25,273-16-6619,B,Mandalay,Normal,Home and lifestyle,33.2,2,3.32,69.72,3/15/2019,12:20,Credit card,66.4,4.761904762,3.32,4.4
24,Male,31,25,73,25,636-48-8204,A,Yangon,Normal,Electronic accessories,34.56,5,8.64,181.44,2/17/2019,11:15,Ewallet,172.8,4.761904762,8.64,9.9
25,Female,54,28,14,28,549-59-1358,A,Yangon,Member,Sports and travel,88.63,3,13.2945,279.1845,3/2/2019,17:36,Ewallet,265.89,4.761904762,13.2945,6
26,Male,29,28,82,28,227-03-5010,A,Yangon,Member,Home and lifestyle,52.59,8,21.036,441.756,3/22/2019,19:20,Credit card,420.72,4.761904762,21.036,8.5
